Michael Bush,256,977,3.8,44,7
Darren McFadden,113,614,5.4,70,4
Jason Campbell,18,60,3.3,17,2
Marcel Reece,17,112,6.6,26,0
Taiwan Jones,16,73,4.6,14,0
Carson Palmer,16,20,1.3,10,1
Kyle Boller,9,38,4.2,20,0
Louis Murphy,6,69,11.5,27,1
Denarius Moore,5,61,12.2,25,1
Rock Cartwright,4,45,11.3,35,0
Jacoby Ford,4,31,7.8,30,0
David Ausberry,1,-2,-2,-2,0
Manase Tonga,1,12,12,12,0
